1695797627.40,0.53,0.30
1695797629.20,0.72,0.39
1695797631.10,0.95,0.51
1695797632.90,1.34,0.77
1695797634.69,1.53,0.79
1695797636.43,1.86,0.93
1695797638.15,1.88,0.96
1695797639.96,1.88,0.96
1695797641.74,1.88,0.96
1695797643.49,1.88,0.96
1695797645.30,1.88,0.96
1695797645.41,1.88,0.96
1695797647.05,1.89,0.93
1695797648.84,2.18,1.05
1695797650.62,2.65,1.23
1695797652.40,3.02,1.31
1695797654.21,3.04,1.39
1695797655.96,3.05,1.39
1695797657.68,3.05,1.39
1695797659.46,3.05,1.39
1695797661.25,3.05,1.39
1695797662.93,3.05,1.39
1695797664.77,3.05,1.39
1695797666.46,3.05,1.26
1695797668.17,3.00,1.10
1695797669.84,3.17,0.99
1695797671.62,3.44,0.89
1695797673.27,4.04,0.80
1695797675.02,4.38,0.80
1695797676.78,4.45,0.84
1695797678.71,4.64,0.95
1695797680.86,4.67,1.06
1695797682.70,4.68,1.18
1695797684.47,4.66,1.28
1695797686.22,4.59,1.36
1695797687.73,4.73,1.25
1695797689.35,4.82,1.08
1695797690.95,5.13,1.47
1695797692.45,5.47,1.98
1695797693.71,5.50,2.16
1695797695.05,5.45,2.27
1695797696.47,5.35,2.35
1695797697.83,5.27,2.40
1695797699.19,5.17,2.44
1695797700.38,5.04,2.44
1695797701.69,4.92,2.41
1695797702.99,4.82,2.36
1695797704.26,4.87,2.49
1695797705.59,4.99,2.61
1695797706.82,5.15,2.68
1695797708.10,5.32,2.72
1695797709.40,5.41,2.84
1695797710.68,5.14,3.41
1695797711.96,4.92,3.80
1695797713.28,4.76,3.92
1695797714.60,4.55,4.01
1695797715.80,4.26,4.12
1695797717.13,4.16,4.08
1695797718.36,4.07,4.03
1695797719.61,3.52,3.92
1695797720.91,3.49,3.82
1695797722.21,3.45,3.72
1695797723.57,3.28,3.47
1695797724.87,3.29,3.37
1695797726.08,3.35,3.28
1695797727.40,3.42,3.19
1695797728.81,3.53,3.14
1695797730.12,3.63,3.11
1695797731.41,3.74,3.10
1695797732.69,3.87,3.13
1695797734.02,3.97,3.17
1695797735.26,4.04,3.24
1695797736.52,4.06,3.30
1695797737.77,3.91,3.27
1695797739.42,3.73,3.22
1695797741.13,3.88,3.34
1695797742.84,4.13,3.62
1695797744.61,4.11,3.74
1695797746.18,4.07,3.83
1695797748.04,4.00,3.93
1695797749.72,3.91,4.00
1695797751.31,3.82,4.04
1695797753.10,3.68,4.08
1695797754.80,3.57,4.06
1695797756.47,3.48,4.03
1695797758.40,3.29,3.98
1695797760.36,2.84,3.84
1695797762.02,2.69,3.73
1695797763.62,2.35,3.50
1695797765.32,2.04,3.34
1695797767.10,2.08,3.50
1695797769.06,2.12,3.64
1695797770.92,2.13,3.68
1695797772.79,2.07,3.61
1695797774.46,2.02,3.53
1695797776.27,2.00,3.42
1695797778.11,1.98,3.58
1695797780.12,2.01,3.78
1695797782.24,2.06,3.91
1695797784.03,2.15,4.05
1695797785.69,2.29,4.15
1695797787.43,2.46,4.23
1695797789.29,2.66,4.26
1695797790.98,2.82,4.23
1695797792.96,2.98,4.14
1695797794.54,3.12,4.00
1695797796.30,3.21,3.86
1695797798.08,3.39,3.86
1695797799.67,3.67,4.00
1695797801.44,4.21,4.38
1695797803.23,4.22,4.51
1695797805.06,4.20,4.61
1695797806.65,4.15,4.70
1695797808.30,4.28,4.58
1695797809.91,4.25,4.61
1695797811.61,4.38,4.51
1695797813.30,4.43,4.74
1695797814.95,4.57,5.01
1695797816.66,4.76,5.52
1695797818.29,4.83,5.82
1695797819.87,4.77,5.92
1695797821.59,4.74,6.15
1695797823.34,4.89,6.02
1695797824.93,4.99,5.88
1695797826.46,5.24,6.08
1695797828.18,5.54,6.39
1695797829.84,5.68,6.42
1695797831.60,5.70,6.25
1695797833.38,5.65,6.08
1695797835.22,5.57,5.94
1695797837.14,5.45,5.79
1695797838.95,5.31,5.71
1695797840.93,5.14,5.66
1695797842.84,4.97,5.67
1695797844.48,4.79,5.71
1695797846.07,4.64,5.82
1695797847.63,4.53,5.95
1695797849.31,4.44,6.12
1695797850.84,4.41,6.31
1695797852.41,4.42,6.47
1695797854.12,4.48,6.63
1695797855.62,4.56,6.77
1695797857.23,4.69,6.88
1695797858.80,4.59,7.01
1695797860.55,4.57,7.15
1695797862.17,4.39,7.26
1695797863.80,4.25,7.27
1695797865.47,3.78,7.42
1695797866.95,3.65,7.39
1695797868.66,3.39,7.34
1695797870.36,2.73,7.26
1695797872.04,2.31,7.17
1695797873.66,1.89,7.04
1695797875.28,1.85,6.94
1695797876.90,1.70,6.76
1695797878.66,1.39,6.37
1695797880.76,1.27,6.39
1695797882.63,1.28,6.57
1695797884.61,1.32,6.73
1695797886.43,1.40,6.89
1695797888.30,1.53,7.00
1695797890.15,1.55,7.01
1695797891.95,1.51,7.00
1695797893.67,1.46,6.99
1695797895.38,1.42,6.97
1695797897.16,1.37,6.93
1695797899.19,1.28,6.85
1695797901.10,1.25,6.73
1695797902.85,1.19,6.86
1695797904.66,1.21,7.04
1695797906.38,1.33,7.23
1695797908.23,1.49,7.38
1695797909.93,1.68,7.47
1695797911.72,1.90,7.49
1695797913.27,1.98,7.72
1695797914.90,2.00,7.99
1695797916.68,2.01,8.55
1695797918.57,2.14,8.43
1695797920.51,2.24,8.28
1695797922.23,2.32,8.11
1695797923.92,2.32,7.92
1695797925.52,2.29,7.75
1695797927.13,2.22,7.61
1695797928.73,2.12,7.49
1695797930.38,1.99,7.39
1695797932.05,1.97,7.19
1695797933.76,2.15,6.80
1695797935.39,2.40,6.54
1695797936.95,2.52,6.32
1695797938.57,2.36,6.33
1695797940.36,2.22,6.37
1695797942.02,2.31,6.31
1695797943.70,2.42,6.27
1695797945.33,2.54,6.25
1695797947.25,2.66,6.27
1695797948.83,2.76,6.32
1695797950.54,2.80,6.38
1695797952.27,2.86,6.45
1695797953.91,2.90,6.57
1695797955.53,3.01,6.78
1695797957.03,3.38,7.27
1695797958.71,3.73,7.77
1695797960.90,3.89,8.07
1695797962.78,3.83,8.18
